Feature,Coefficient
total_assets,756958.3538840093
inpatient_pps_amount,629854.1872568934
overhead_non_salary_costs,-567719.6858213397
total_liab_and_fund_balances,-460794.0506960484
less_total_operating_expense,-398164.517577466
total_salaries_adjusted,378965.72212495276
net_profit_margin,347998.1822470376
total_days_title_xviii,-255751.0320374909
total_general_inpatient_revenue,237721.30789142862
cost_per_bed,-180931.86166377837
total_days_total,179750.30970460895
total_liabilities,-176858.83369707802
salary_costs_per_bed,147008.71186017626
total_costs,-131732.35140512398
less_discounts_on_patients,114242.84908157036
snf_days_total,95388.77767622791
snf_admissions_total,-83941.74737892671
general_fund_balance,-66258.29185425189
wage_related_costs_core,-63963.88275962215
salaries_wages_and_fees_payable,-60370.692662215144
gross_profit_margin,-55203.609662893774
operating_expense_ratio,55203.609662806295
snf_discharges_total,-54527.81834218686
total_discharges_total,46517.24389343326
bed_occupancy_rate,-39791.570421701545
snf_average_length_of_stay_tot,-31824.603485385087
accounts_payable,23649.653081770703
accounts_receivable,-23252.87768670763
total_fund_balances,22230.312035493072
total_discharges_title_other,-21622.82349437518
cash_on_hand_and_in_banks,-17403.712611840438
total_bed_days_available,-12613.124257400059
total_days_other,11677.384236682148
type_of_control,10817.341744993004
snf_average_length_stay_xviii,9023.927492498551
total_discharges_title_xviii,3420.66075891722
rural_versus_urban_R,3214.50817911375
rural_versus_urban_U,-3214.508179076741
number_of_beds,-3122.792388387781
total_current_liabilities,525.5410532144015
bed_utilization_rate,-303.9763680763717
assets_to_liability_ratio,109.3622312847292
roi,-1.190063132395153
debt_to_equity_ratio,-0.012084451911505312
