Feature,Coefficient
HI,744647.9045028191
WV,465717.3094557658
PR,409564.9055511238
NY,356660.83775614155
DE,356255.44688135426
OR,354375.53437856794
AZ,281692.09764091513
NC,280489.73656991334
NM,229728.4806739059
LA,228056.27363241796
VA,199217.60237641374
NV,194004.36462348702
GA,182554.31889330642
ME,181027.2316157692
ID,144852.05639513678
UT,143713.46864918334
AL,109742.6639263817
TN,104409.17548494875
MS,90654.22785978054
PA,75878.21451862724
MD,17056.042187201274
MT,15771.764968000272
IN,11621.679625457593
MN,-5915.665809
CO,-12607.38943
CA,-16499.31593
OH,-17836.88188
NJ,-33147.47751
AR,-36876.99929
MI,-40816.29221
KY,-52582.02268
DC,-58513.3292
OK,-83751.28685
IA,-84842.88055
SC,-89146.67758
KS,-89855.36542
NE,-91087.7479
FL,-93701.11634
MO,-95161.09484
TX,-109690.6197
WY,-113941.0727
SD,-145670.58
WI,-174288.6033
ND,-178424.2086
VT,-218520.2797
NH,-257538.8465
RI,-271013.1501
IL,-274747.2957
WA,-319157.5866
CT,-474253.2838
MA,-547103.8953
AK,-1191000.373
