Feature,Coefficient
net_profit_margin,280895.6954517352
net_income_from_patients,198653.84909039733
inpatient_revenue,-151016.21482816717
total_income,143120.62206299292
salary_costs_per_bed,142946.92971776144
inpatient_pps_amount,141517.54098853003
total_salaries_adjusted,120431.37523694099
cost_per_bed,-103993.69366228457
less_discounts_on_patients,93424.80542835686
total_costs,-78359.36870337525
snf_admissions_title_xviii,-73876.56780327509
gross_revenue,67063.6060129923
operating_expense_ratio,59231.169736806856
gross_profit_margin,-59231.16973680675
net_patient_revenue,52355.10766437167
